timestamp,round,threat_enemy_id,threat_enemy_type,threat_enemy_distance,threat_enemy_angle,threat_enemy_x,threat_enemy_y,threat_enemy_z,north_threat,northeast_threat,east_threat,southeast_threat,south_threat,southwest_threat,west_threat,northwest_threat
2025-12-23 22:04:31.958,1,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 22:04:41.928,2,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.006,0.0,0.011,0.0,0.005,0.002,0.0
2025-12-23 22:04:51.937,3,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
2025-12-23 22:05:01.938,4,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 22:05:11.943,5,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.007,0.03,0.0,0.0,0.0
2025-12-23 22:05:21.964,6,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 22:05:31.970,7,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.006,0.0,0.011,0.0,0.005,0.002,0.0
2025-12-23 22:05:41.985,8,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
2025-12-23 22:05:51.991,9,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 22:06:02.006,10,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.007,0.03,0.0,0.0,0.0
2025-12-23 22:06:31.324,11,7,Soldier,26.45,45.92,15.23,17.0,14.75,0.013,0.066,0.109,0.036,0.0,0.0,0.0,0.0
2025-12-23 22:07:06.021,12,26,Soldier,26.94,-29.57,-10.76,17.0,18.97,0.0,0.0,0.0,0.0,0.008,0.076,0.082,0.054
2025-12-23 22:07:21.955,13,1,Soldier,27.41,103.74,21.74,17.0,-5.32,0.04,0.032,0.021,0.027,0.027,0.048,0.008,0.006
2025-12-23 22:27:47.673,1,4,Soldier,20.47,-165.18,-3.32,17.0,-12.56,0.008,0.0,0.0,0.007,0.03,0.0,0.0,0.0
2025-12-23 22:28:07.634,2,1,Soldier,21.89,113.39,13.88,17.0,-6.0,0.004,0.0,0.0,0.002,0.0,0.005,0.002,0.0
2025-12-23 22:28:27.642,3,3,Soldier,26.58,107.43,20.38,17.0,-6.4,0.001,0.017,0.002,0.0,0.001,0.0,0.0,0.0
2025-12-23 22:28:47.658,4,1,Soldier,26.25,-67.66,-19.38,17.0,7.96,0.0,0.006,0.0,0.011,0.0,0.005,0.002,0.0
2025-12-23 22:29:07.663,5,1,Soldier,27.88,77.64,22.42,17.0,4.91,0.0,0.0,0.02,0.002,0.002,0.0,0.0,0.002
2025-12-23 22:29:47.181,6,19,Soldier,30.17,-133.03,-18.78,17.0,-17.53,0.012,0.039,0.019,0.008,0.041,0.048,0.131,0.013
2025-12-23 22:29:56.554,7,6,Soldier,26.86,-143.13,-13.02,17.0,-17.36,0.003,0.033,0.05,0.008,0.02,0.042,0.022,0.025
2025-12-23 22:30:04.985,8,7,Soldier,26.45,45.92,15.23,17.0,14.75,0.013,0.066,0.109,0.036,0.0,0.0,0.0,0.0
2025-12-23 22:30:12.960,9,1,Soldier,27.41,103.74,21.74,17.0,-5.32,0.04,0.032,0.021,0.027,0.027,0.048,0.008,0.006
2025-12-23 22:30:18.184,10,26,Soldier,26.94,-29.57,-10.76,17.0,18.97,0.0,0.0,0.0,0.0,0.008,0.076,0.082,0.054
2025-12-23 22:30:21.256,11,1,Soldier,28.52,-37.28,-14.37,17.0,18.88,0.0,0.0,0.0,0.0,0.0,0.022,0.003,0.015
2025-12-23 22:30:40.212,12,3,Drone,52.55,-62.12,-44.3,17.0,23.43,0.0,0.002,0.0,0.0,0.0,0.0,0.004,0.004
